flood_depth_m,FS_INV_DR,FS_SWG_DR,FS_XFMR_DR,FS_COMB_DR,FS_SCADA_DR,FS_CABLE_DR,FS_PVMOD_DR,FS_FOUND_DR
0,0,0,0,0,0,0,0,0.0
0.02,0.05,0.1,0.03,0.1,0.15,0.02,0.05,0.0
0.05,0.25,0.4,0.1,0.35,0.45,0.05,0.1,0.0
0.15,0.75,0.85,0.25,0.8,0.9,0.15,0.3,0.0
0.3,0.95,1.0,0.45,1.0,1.0,0.3,0.6,0.0
0.5,0.9833,1.0,0.5833,1.0,1.0,0.4,0.7667,0.0
0.6,1.0,1.0,0.65,1.0,1.0,0.45,0.85,0.01
1.0,1.0,1.0,0.8,1.0,1.0,0.55,1.0,0.05
1.5,1.0,1.0,0.95,1.0,1.0,0.6,1.0,0.15
2.0,1.0,1.0,1.0,1.0,1.0,0.65,1.0,0.35
3.0,1.0,1.0,1.0,1.0,1.0,0.65,1.0,0.7
4.0,1.0,1.0,1.0,1.0,1.0,0.65,1.0,1.0
